Profile Name,Company Name,Experience,Apply By,Skills Required,Salary,Page,URL,Timestamp,City
Customer Experience Executive,Moustache Escapes,1 year(s),Not Found,,Not Mentioned,5,https://internshala.com/job/detail/customer-experience-executive-job-in-jaipur-at-moustache-escapes1745886622,01-05-2025 11:03,Jaipur
Motion Graphic Designer,Nexus Jobs,1 year(s),Not Found,,Not Mentioned,6,https://internshala.com/job/detail/motion-graphic-designer-job-in-jaipur-at-nexus-jobs1745627423,01-05-2025 11:04,Jaipur
Sales Manager (RE Wall Geostrap Product),DCS Group,4 year(s),Not Found,,"₹ 4,80,000 - 5,40,000",6,https://internshala.com/job/detail/sales-manager-re-wall-geostrap-product-job-in-jaipur-at-dcs-group1745541028,01-05-2025 11:04,Jaipur
Sales Manager (Geostrap Product),DCS Group,4 year(s),Not Found,,"₹ 4,80,000 - 5,40,000",6,https://internshala.com/job/detail/sales-manager-geostrap-product-job-in-jaipur-at-dcs-group1745454629,01-05-2025 11:04,Jaipur
Planning & Billing Engineer (Must RE Wall Project),DCS Group,4 year(s),Not Found,,"₹ 5,40,000 - 6,00,000",6,https://internshala.com/job/detail/planning-billing-engineer-must-re-wall-project-job-in-jaipur-at-dcs-group1745454629,01-05-2025 11:04,Jaipur
Embedded C,Shivakriti International Ltd,1 year(s),Not Found,,"₹ 4,80,000 - 5,00,000",6,https://internshala.com/job/detail/embedded-c-job-in-multiple-locations-at-shivakriti-international-ltd1745281827,01-05-2025 11:04,Jaipur
Business Analyst,Techno Derivation Private Limited,0 year(s),Not Found,,Not Mentioned,6,https://internshala.com/job/detail/fresher-business-analyst-job-in-jaipur-at-techno-derivation-private-limited1744158615,01-05-2025 11:04,Jaipur
Android Developer,Webtonative,0 year(s),Not Found,,Not Mentioned,6,https://internshala.com/job/detail/fresher-android-developer-job-in-jaipur-at-webtonative1743640225,01-05-2025 11:04,Jaipur
WordPress Developer,Webtonative,1 year(s),Not Found,,Not Mentioned,6,https://internshala.com/job/detail/wordpress-developer-job-in-jaipur-at-webtonative1743553822,01-05-2025 11:04,Jaipur
Technical Support Executive(Software Industry Exp),DCS Group,4 year(s),Not Found,,"₹ 3,36,000 - 3,60,000",6,https://internshala.com/job/detail/technical-support-executivesoftware-industry-exp-job-in-jaipur-at-dcs-group1742689821,01-05-2025 11:04,Jaipur
Digital Marketing,Nexus Jobs,0 year(s),Not Found,,"₹ 2,16,000 - 3,00,000",6,https://internshala.com/job/detail/fresher-digital-marketing-job-in-jaipur-at-nexus-jobs1742257826,01-05-2025 11:05,Jaipur
Interior Designer,Nexus Jobs,0 year(s),Not Found,,"₹ 2,16,000 - 3,00,000",6,https://internshala.com/job/detail/fresher-interior-designer-job-in-jaipur-at-nexus-jobs1742257825,01-05-2025 11:05,Jaipur
Accounting & Tally,GJ Manufacturers Private Limited,Not Found,Not Found,"Accounting, Bank Reconciliation, Tally, Certificate, Job offer",Not Mentioned,6,https://internshala.com/internship/detail/accounting-tally-internship-in-jaipur-at-gj-manufacturers-private-limited1745831279,01-05-2025 11:05,Jaipur
Video Editing/Making,Gurucool,Not Found,Not Found,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Graphic Design, Video Editing, Video Making, Certificate, Informal dress code, 5 days a week, Job offer",Not Mentioned,6,https://internshala.com/internship/detail/video-editing-making-internship-in-jaipur-at-gurucool1745986608,01-05-2025 11:05,Jaipur
Social Media Marketing,Metanoia Expeditions,Not Found,Not Found,"Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Job offer",Not Mentioned,6,https://internshala.com/internship/detail/social-media-marketing-internship-in-jaipur-at-metanoia-expeditions1745996565,01-05-2025 11:05,Jaipur
Digital Marketing,SOCIOTOPS MARKETING PRIVATE LIMITED,Not Found,Not Found,"Canva, Creative Writing, Digital Marketing, Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Certificate, Job offer",Not Mentioned,6,https://internshala.com/internship/detail/part-time-digital-marketing-internship-in-jaipur-at-sociotops-marketing-private-limited1745306150,01-05-2025 11:05,Jaipur
Sales & Marketing,Pristine Auto Care,Not Found,Not Found,"B2B Sales, Digital Marketing, Effective Communication, Marketing Strategy, Sales Strategy, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages, Job offer",Not Mentioned,6,https://internshala.com/internship/detail/sales-marketing-internship-in-jaipur-at-pristine-auto-care1745054373,01-05-2025 11:05,Jaipur
Business Development (Sales),Techno Derivation,Not Found,Not Found,"English Proficiency (Spoken), English Proficiency (Written), Certificate, Letter of recommendation, 5 days a week, Job offer",Not Mentioned,6,https://internshala.com/internship/detail/business-development-sales-internship-in-jaipur-at-techno-derivation1745919525,01-05-2025 11:05,Jaipur
Business Development (Sales),Handarted,Not Found,Not Found,"Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Marketing Strategy, Sales Management, Sales Strategy, Social Media Marketing, Certificate, Letter of recommendation, Informal dress code, Job offer",Not Mentioned,6,https://internshala.com/internship/detail/business-development-sales-internship-in-jaipur-at-handarted1745905871,01-05-2025 11:05,Jaipur
Field Sales,Vahan Technologies India Private Limited,Not Found,Not Found,"Business Development, English Proficiency (Spoken), Hindi Proficiency (Spoken), Kannada Proficiency (Spoken), Lead Generation, MS-Excel, Sales, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer",Not Mentioned,6,https://internshala.com/internship/detail/field-sales-internship-in-multiple-locations-at-vahan-technologies-india-private-limited1745846983,01-05-2025 11:05,Jaipur
Business Development (Sales),Sharma Enterprises,Not Found,Not Found,"Digital Marketing, Effective Communication, Field Sales, Interpersonal skills, MS-Excel, Sales, Sales Management, Job offer",Not Mentioned,6,https://internshala.com/internship/detail/business-development-sales-internship-in-jaipur-at-sharma-enterprises1745573731,01-05-2025 11:05,Jaipur
Customer Service/Customer Support,Soulbol,Not Found,Not Found,"Effective Communication, English Proficiency (Spoken), Hindi Proficiency (Spoken), Interpersonal skills, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Job offer",Not Mentioned,6,https://internshala.com/internship/detail/customer-service-customer-support-internship-in-jaipur-at-soulbol1745493717,01-05-2025 11:05,Jaipur
